desc,fea1,fea2,fea3,fea21,fea22,fea23,similarity,label
model,4,1,6,4,1,6,0.284026,unrelated
model,0,1,0,0,1,0,0.0420687,unrelated
model,2,0,0,1,0,0,0.171844,unrelated
model,2,0,1,2,0,1,0.415503,hoax
model,3,0,0,3,0,0,0.907587,hoax
model,2,0,1,2,0,1,0.36843,unrelated
model,3,0,0,3,0,0,0.542257,unrelated
model,0,0,0,0,0,0,0.389244,unrelated
model,0,0,0,0,0,0,0.628848,unrelated
model,0,0,0,0,0,0,0.22177,unrelated
model,6,1,0,6,1,0,0.520366,unrelated
model,1,0,0,1,0,0,0.373003,unrelated
model,20,5,3,20,5,3,0.559776,unrelated
model,5,1,0,5,1,0,0.685257,hoax
model,4,0,0,4,0,0,0.85222,hoax
model,1,0,0,1,0,0,0.409709,hoax
model,0,0,0,0,0,0,0.17584,unknown
model,0,1,0,0,1,0,0.62677,hoax
model,0,0,0,0,0,0,0.432734,unknown
model,0,0,0,0,0,0,0.192051,fact
model,6,0,0,6,0,0,0.471893,hoax
model,1,0,0,1,0,0,0.543499,hoax
model,3,5,1,3,1,1,0.642975,hoax
model,0,1,1,0,1,1,0.97728,hoax
model,0,1,0,0,1,0,0.469188,fact
model,1,0,0,1,0,0,0.284814,unrelated
model,0,0,0,0,0,0,0.359085,fact
model,0,0,0,0,0,0,0.435642,fact
model,3,0,1,3,0,1,0.746932,fact
model,0,0,0,0,0,0,0.228295,unrelated
model,4,0,0,4,0,0,0.951166,unknown
model,9,0,0,9,0,0,0.205323,unrelated
model,0,1,0,0,1,0,0.64882,fact
model,0,0,0,0,0,0,0.164479,unrelated
model,0,0,0,0,0,0,0.000140666,unrelated
model,0,0,0,0,0,0,0.718017,unknown
model,3,1,0,3,1,0,0.941016,hoax
model,3,0,0,3,0,0,0.310201,unrelated
model,4,0,0,4,0,0,0.752203,unknown
model,1,0,0,1,0,0,0.770106,hoax
model,4,0,0,4,0,0,0.752203,unknown
model,1,0,0,1,0,0,0.322645,unrelated
model,0,0,0,0,0,0,0.0,unrelated
model,0,0,0,0,0,0,0.592486,hoax
model,0,0,0,0,0,0,0.592486,hoax
model,9,0,0,9,0,0,0.549979,hoax
model,3,0,0,3,0,0,0.856164,hoax
model,0,0,0,0,0,0,0.191673,unrelated
model,0,0,0,0,0,0,0.584344,unrelated
model,0,1,0,0,1,0,0.526395,unrelated
model,0,0,0,0,0,0,0.726081,fact
model,0,1,0,0,1,0,0.611029,fact
model,0,0,0,0,0,0,0.681282,fact
model,0,0,0,0,0,0,0.699534,fact
model,1,0,0,1,0,0,0.895472,fact
model,0,0,0,0,0,0,0.884283,fact
model,1,1,0,1,1,0,0.377032,unrelated
model,3,0,0,3,0,0,0.405966,hoax
model,2,0,0,2,0,0,0.326834,unrelated
model,7,0,0,7,0,0,0.260887,unrelated
model,0,0,0,0,0,0,0.791755,fact
model,6,1,0,4,1,0,0.535472,hoax
model,9,0,0,9,0,0,0.801176,hoax
model,6,0,0,6,0,0,0.77013,hoax
model,3,0,0,3,0,0,0.414407,hoax
model,7,0,0,5,0,0,0.6093,hoax
model,1,2,0,1,2,0,0.706288,hoax
model,1,1,0,1,1,0,0.52313,unrelated
model,3,0,0,3,0,0,0.601809,hoax
model,7,2,0,7,2,0,0.930869,hoax
model,2,0,0,2,0,0,0.523293,unknown
model,0,1,1,0,1,1,0.318516,unrelated
model,1,0,0,1,0,0,0.650963,hoax
model,0,0,0,0,0,0,0.518116,unrelated
model,9,0,2,6,0,2,0.328092,unrelated
model,5,0,0,4,0,0,0.836356,hoax
model,1,0,0,1,0,0,0.791053,fact
model,0,0,0,0,0,0,0.00131844,unrelated
model,5,0,0,5,0,0,0.839668,hoax
model,1,0,0,0,0,0,0.0,unrelated
model,0,0,0,0,0,0,0.0,unrelated
model,2,0,0,0,0,0,0.0,unrelated
model,0,0,0,0,0,0,0.0,unrelated
model,0,0,0,0,0,0,0.0,unrelated
model,0,0,0,0,0,0,0.0,unrelated
model,0,0,1,0,0,1,0.681536,fact
model,0,0,0,0,0,0,0.225559,unrelated
model,1,0,0,0,0,0,0.175643,fact
model,0,0,0,0,0,0,0.538368,unknown
model,3,2,1,2,2,1,0.819664,unknown
model,3,0,0,2,0,0,0.180649,unrelated
model,0,1,0,0,1,0,0.909045,fact
model,0,0,0,0,0,0,0.684292,fact
model,0,0,0,0,0,0,0.0,unrelated
model,0,0,0,0,0,0,0.353016,unrelated
model,0,0,0,0,0,0,0.985228,fact
model,0,0,0,0,0,0,0.0875622,hoax
model,0,0,0,0,0,0,-0.00123066,unrelated
model,0,0,0,0,0,0,0.548632,hoax
model,2,0,0,2,0,0,0.117133,hoax
model,2,0,0,2,0,0,0.647636,hoax
model,1,0,0,1,0,0,0.635841,hoax
model,0,0,0,0,0,0,0.00364034,unrelated
model,1,0,0,1,0,0,0.841797,unknown
model,1,0,0,1,0,0,0.371621,hoax
model,8,0,0,8,0,0,0.469057,hoax
model,0,0,0,0,0,0,0.284606,fact
model,0,0,0,0,0,0,0.284606,fact
model,3,0,0,3,0,0,0.702356,hoax
model,4,0,0,4,0,0,0.689245,hoax
model,0,0,0,0,0,0,0.447517,fact
model,0,0,0,0,0,0,0.062655,unrelated
model,17,0,0,16,0,0,0.810148,hoax
model,4,0,0,3,0,0,0.331682,hoax
model,0,0,0,0,0,0,0.00193483,unrelated
model,0,0,0,0,0,0,0.0,unrelated
model,0,0,0,0,0,0,0.470219,fact
model,1,0,0,1,0,0,0.995133,hoax
model,7,4,0,7,3,0,0.488606,hoax
model,0,0,0,0,0,0,0.440155,fact
model,6,0,0,5,0,0,0.641877,hoax
model,1,0,0,1,0,0,0.82766,unknown
model,0,0,0,0,0,0,0.076947,unrelated
model,0,0,0,0,0,0,-1.86265e-09,unrelated
model,1,0,0,1,0,0,0.93055,unknown
model,0,0,0,0,0,0,0.484467,fact
model,3,0,0,3,0,0,0.674077,hoax
model,1,0,0,1,0,0,0.52932,unrelated
model,1,1,0,0,1,0,0.21436,unrelated
model,0,0,0,0,0,0,-0.000657713,unrelated
model,2,0,0,0,0,0,0.216059,unrelated
model,5,2,0,2,2,0,0.279212,unrelated
model,0,1,0,0,0,0,0.224125,unrelated
model,0,0,0,0,0,0,0.41544,unrelated
model,2,3,0,2,3,0,0.508783,fact
model,9,2,0,9,2,0,0.851978,unrelated
